 tarih ,kursunsuz,dizel
05/01/2007,2.73,2.32
06/01/2007,2.73,2.32
09/01/2007,2.73,2.27
10/01/2007,2.73,2.27
12/01/2007,2.68,2.27
16/01/2007,2.68,2.27
17/01/2007,2.68,2.25
19/01/2007,2.63,2.25
23/01/2007,2.63,2.25
30/01/2007,2.66,2.25
01/02/2007,2.66,2.25
02/02/2007,2.66,2.25
03/02/2007,2.66,2.25
06/02/2007,2.68,2.25
07/02/2007,2.68,2.28
08/02/2007,2.68,2.28
09/02/2007,2.68,2.28
13/02/2007,2.68,2.28
20/02/2007,2.68,2.28
22/02/2007,2.68,2.28
23/02/2007,2.71,2.28
24/02/2007,2.71,2.28
27/02/2007,2.71,2.28
28/02/2007,2.78,2.28
01/03/2007,2.78,2.32
02/03/2007,2.78,2.32
03/03/2007,2.84,2.32
07/03/2007,2.85,2.32
08/03/2007,2.85,2.32
09/03/2007,2.85,2.35
10/03/2007,2.85,2.35
13/03/2007,2.85,2.35
15/03/2007,2.85,2.35
20/03/2007,2.82,2.35
21/03/2007,2.82,2.35
22/03/2007,2.82,2.33
23/03/2007,2.82,2.32
30/03/2007,2.88,2.32
31/03/2007,2.88,2.38
04/04/2007,2.88,2.38
10/04/2007,2.88,2.38
17/04/2007,2.93,2.38
18/04/2007,2.93,2.38
21/04/2007,2.93,2.38
01/05/2007,2.93,2.38
02/05/2007,2.99,2.38
03/05/2007,2.99,2.38
04/05/2007,2.99,2.38
10/05/2007,2.99,2.38
12/05/2007,2.99,2.38
02/06/2007,2.99,2.38
06/06/2007,2.96,2.38
08/06/2007,2.96,2.38
09/06/2007,2.96,2.38
14/06/2007,2.96,2.38
27/06/2007,2.96,2.38
29/06/2007,2.96,2.38
06/07/2007,2.94,2.38
07/07/2007,2.93,2.38
11/07/2007,2.93,2.38
14/07/2007,2.93,2.42
20/07/2007,2.9,2.42
24/07/2007,2.9,2.42
27/07/2007,2.85,2.39
28/07/2007,2.85,2.39
01/08/2007,2.88,2.43
02/08/2007,2.88,2.43
03/08/2007,2.88,2.43
04/08/2007,2.88,2.43
08/08/2007,2.85,2.43
09/08/2007,2.85,2.43
10/08/2007,2.85,2.39
11/08/2007,2.85,2.39
14/08/2007,2.85,2.39
15/08/2007,2.83,2.39
16/08/2007,2.83,2.39
18/08/2007,2.88,2.39
21/08/2007,2.89,2.45
25/08/2007,2.85,2.45
28/08/2007,2.85,2.41
29/08/2007,2.85,2.42
01/09/2007,2.85,2.42
06/09/2007,2.91,2.42
07/09/2007,2.9,2.42
08/09/2007,2.9,2.42
11/09/2007,2.9,2.42
12/09/2007,2.9,2.46
13/09/2007,2.85,2.46
14/09/2007,2.85,2.46
19/09/2007,2.85,2.46
03/10/2007,2.85,2.43
04/10/2007,2.81,2.43
05/10/2007,2.81,2.43
06/10/2007,2.81,2.43
09/10/2007,2.81,2.43
10/10/2007,2.81,2.4
18/10/2007,2.81,2.46
19/10/2007,2.86,2.46
20/10/2007,2.86,2.46
23/10/2007,2.86,2.46
31/10/2007,2.86,2.51
01/11/2007,2.91,2.51
03/11/2007,3.04,2.59
06/11/2007,3.05,2.64
07/11/2007,3.09,2.64
08/11/2007,3.09,2.64
09/11/2007,3.09,2.69
20/11/2007,3.09,2.69
23/11/2007,3.09,2.69
24/11/2007,3.09,2.75
27/11/2007,3.09,2.75
28/11/2007,3.09,2.75
29/11/2007,3.09,2.75
04/12/2007,3.09,2.75
05/12/2007,3.09,2.69
06/12/2007,3.05,2.69
07/12/2007,3.05,2.69
11/12/2007,3.05,2.63
20/12/2007,3.05,2.66
28/12/2007,3.05,2.66
01/01/2008,3.11,2.66
04/01/2008,3.11,2.66
05/01/2008,3.11,2.66
06/01/2008,3.11,2.66
10/01/2008,3.11,2.66
15/01/2008,3.06,2.62
17/01/2008,3.06,2.62
21/01/2008,3.06,2.62
07/02/2008,3.03,2.62
08/02/2008,3.03,2.62
13/02/2008,3.11,2.62
14/02/2008,3.11,2.72
20/02/2008,3.11,2.72
21/02/2008,3.15,2.72
22/02/2008,3.15,2.72
23/02/2008,3.15,2.72
25/02/2008,3.15,2.72
26/02/2008,3.15,2.77
28/02/2008,3.15,2.77
05/03/2008,3.15,2.77
06/03/2008,3.15,2.77
07/03/2008,3.15,2.87
11/03/2008,3.15,2.87
12/03/2008,3.15,2.93
13/03/2008,3.22,2.93
14/03/2008,3.22,2.93
18/03/2008,3.22,2.93
20/03/2008,3.22,2.93
27/03/2008,3.22,2.93
28/03/2008,3.22,2.93
01/04/2008,3.22,2.93
02/04/2008,3.29,2.93
03/04/2008,3.29,2.93
11/04/2008,3.29,3.03
12/04/2008,3.29,3.1
18/04/2008,3.37,3.1
19/04/2008,3.38,3.1
25/04/2008,3.38,3.1
29/04/2008,3.42,3.1
01/05/2008,3.42,3.1
02/05/2008,3.42,3.1
03/05/2008,3.37,3.1
07/05/2008,3.37,3.1
13/05/2008,3.37,3.1
14/05/2008,3.37,3.19
15/05/2008,3.42,3.19
22/05/2008,3.42,3.19
24/05/2008,3.42,3.32
27/05/2008,3.48,3.32
28/05/2008,3.48,3.32
29/05/2008,3.48,3.32
01/06/2008,3.48,3.32
02/06/2008,3.48,3.32
03/06/2008,3.48,3.22
04/06/2008,3.48,3.22
05/06/2008,3.48,3.22
06/06/2008,3.48,3.22
07/06/2008,3.48,3.22
12/06/2008,3.48,3.22
13/06/2008,3.48,3.31
14/06/2008,3.53,3.31
17/06/2008,3.53,3.31
18/06/2008,3.53,3.31
21/06/2008,3.53,3.24
24/06/2008,3.53,3.24
25/06/2008,3.53,3.24
27/06/2008,3.53,3.24
01/07/2008,3.55,3.25
02/07/2008,3.55,3.25
03/07/2008,3.55,3.25
04/07/2008,3.55,3.25
05/07/2008,3.55,3.38
10/07/2008,3.55,3.3
11/07/2008,3.55,3.3
18/07/2008,3.55,3.3
19/07/2008,3.47,3.3
22/07/2008,3.47,3.21
23/07/2008,3.47,3.21
24/07/2008,3.4,3.21
25/07/2008,3.4,3.21
26/07/2008,3.4,3.14
31/07/2008,3.36,3.14
02/08/2008,3.36,3.07
06/08/2008,3.36,3.07
07/08/2008,3.32,2.99
12/08/2008,3.32,2.94
14/08/2008,3.28,2.94
19/08/2008,3.28,2.94
21/08/2008,3.28,2.94
26/08/2008,3.28,2.94
28/08/2008,3.31,2.94
29/08/2008,3.31,2.94
30/08/2008,3.31,2.94
06/09/2008,3.31,2.9
10/09/2008,3.31,2.9
12/09/2008,3.31,2.9
13/09/2008,3.31,2.9
18/09/2008,3.31,2.9
19/09/2008,3.21,2.9
20/09/2008,3.21,2.9
23/09/2008,3.21,2.86
24/09/2008,3.21,2.86
26/09/2008,3.21,2.94
27/09/2008,3.26,2.94
04/10/2008,3.2,2.89
09/10/2008,3.2,2.89
11/10/2008,3.16,2.84
15/10/2008,3.16,2.84
16/10/2008,3.09,2.78
21/10/2008,3.05,2.78
24/10/2008,3.13,2.88
28/10/2008,3.13,2.88
07/11/2008,3.13,2.88
11/11/2008,3.05,2.82
14/11/2008,2.98,2.82
15/11/2008,2.98,2.82
17/11/2008,2.98,2.82
20/11/2008,2.92,2.77
21/11/2008,2.92,2.77
25/11/2008,2.92,2.77
26/11/2008,2.85,2.68
29/11/2008,2.85,2.68
03/12/2008,2.85,2.59
05/12/2008,2.78,2.59
06/12/2008,2.78,2.59
16/12/2008,2.78,2.49
17/12/2008,2.78,2.49
18/12/2008,2.78,2.49
23/12/2008,2.76,2.44
24/12/2008,2.75,2.44
25/12/2008,2.75,2.44
01/01/2009,2.72,2.39
08/01/2009,2.72,2.39
09/01/2009,2.81,2.52
10/01/2009,2.81,2.52
13/01/2009,2.81,2.52
16/01/2009,2.81,2.49
17/01/2009,2.81,2.49
20/01/2009,2.81,2.49
22/01/2009,2.87,2.49
27/01/2009,2.83,2.45
28/01/2009,2.83,2.45
30/01/2009,2.88,2.48
31/01/2009,2.88,2.48
07/02/2009,2.88,2.48
10/02/2009,2.88,2.43
13/02/2009,2.92,2.43
18/02/2009,2.92,2.43
19/02/2009,2.87,2.43
20/02/2009,2.87,2.35
21/02/2009,2.87,2.35
24/02/2009,2.83,2.35
25/02/2009,2.83,2.35
03/03/2009,2.9,2.35
11/03/2009,2.9,2.41
18/03/2009,2.9,2.39
21/03/2009,2.98,2.48
24/03/2009,2.98,2.48
25/03/2009,2.98,2.48
26/03/2009,2.98,2.48
27/03/2009,2.98,2.48
28/03/2009,3.02,2.53
01/04/2009,3.02,2.53
03/04/2009,2.97,2.47
04/04/2009,2.97,2.47
07/04/2009,2.97,2.47
08/04/2009,2.97,2.47
10/04/2009,2.97,2.47
22/04/2009,3.01,2.47
23/04/2009,3.01,2.47
30/04/2009,2.96,2.43
07/05/2009,3.03,2.43
08/05/2009,3.03,2.43
09/05/2009,3.03,2.48
13/05/2009,3.06,2.48
19/05/2009,3.12,2.48
28/05/2009,3.12,2.48
29/05/2009,3.12,2.48
30/05/2009,3.18,2.48
02/06/2009,3.18,2.54
03/06/2009,3.18,2.54
06/06/2009,3.18,2.59
09/06/2009,3.25,2.59
17/06/2009,3.21,2.55
23/06/2009,3.21,2.55
28/06/2009,3.05,2.49
30/06/2009,3.03,2.46
02/07/2009,3.02,2.46
03/07/2009,3.02,2.46
04/07/2009,2.95,2.43
07/07/2009,2.97,2.43
09/07/2009,2.96,2.39
10/07/2009,2.96,2.39
11/07/2009,2.94,2.36
14/07/2009,2.92,2.35
15/07/2009,3.15,2.53
18/07/2009,3.18,2.56
21/07/2009,3.19,2.57
23/07/2009,3.2,2.61
25/07/2009,3.24,2.61
28/07/2009,3.25,2.62
30/07/2009,3.25,2.62
01/08/2009,3.26,2.62
04/08/2009,3.29,2.62
06/08/2009,3.34,2.66
07/08/2009,3.34,2.66
08/08/2009,3.31,2.7
11/08/2009,3.32,2.69
13/08/2009,3.33,2.69
15/08/2009,3.29,2.69
18/08/2009,3.28,2.67
20/08/2009,3.26,2.66
22/08/2009,3.28,2.69
25/08/2009,3.27,2.68
27/08/2009,3.28,2.69
28/08/2009,3.28,2.69
02/09/2009,3.29,2.7
05/09/2009,3.27,2.66
09/09/2009,3.27,2.66
18/09/2009,3.28,2.66
