yilay, bazpuan
2005-01-01, 114.49
2005-02-01, 114.51
2005-03-01, 114.81
2005-04-01, 115.63
2005-05-01, 116.69
2005-06-01, 116.81
2005-07-01, 116.14
2005-08-01, 117.13
2005-09-01, 118.33
2005-10-01, 120.45
2005-11-01, 122.14
2005-12-01, 122.65
2006-01-01, 123.57
2006-02-01, 123.84
2006-03-01, 124.18
2006-04-01, 125.84
2006-05-01, 128.2
2006-06-01, 128.63
2006-07-01, 129.72
2006-08-01, 129.15
2006-09-01, 130.81
2006-10-01, 132.47
2006-11-01, 134.18
2006-12-01, 134.49
2007-01-01, 135.84
2007-02-01, 136.42
2007-03-01, 137.67
2007-04-01, 139.33
2007-05-01, 140.03
2007-06-01, 139.69
2007-07-01, 138.67
2007-08-01, 138.7
2007-09-01, 140.13
2007-10-01, 142.67
2007-11-01, 145.45
2007-12-01, 145.77
2008-01-01, 146.94
2008-02-01, 148.84
2008-03-01, 150.27
2008-04-01, 152.79
2008-05-01, 155.07
2008-06-01, 154.51
2008-07-01, 155.4
2008-08-01, 155.02
2008-09-01, 155.72
2008-10-01, 159.77
2008-11-01, 161.1
2008-12-01, 160.44
2009-01-01, 160.9
2009-02-01, 160.35
2009-03-01, 162.12
2009-04-01, 162.15
2009-05-01, 163.19
2009-06-01, 163.37
2009-07-01, 163.78
2009-08-01, 163.29
2009-09-01, 163.93
2009-10-01, 167.88
2009-11-01, 170.01
2009-12-01, 170.91
2010-01-01, 174.07
2010-02-01, 176.59
2010-03-01, 177.62
2010-04-01, 178.68
2010-05-01, 178.04
2010-06-01, 177.04
2010-07-01, 176.19
2010-08-01, 176.9
2010-09-01, 179.07
2010-10-01, 182.35
2010-11-01, 182.4
2010-12-01, 181.85
2011-01-01, 182.6
2011-02-01, 183.93
2011-03-01, 184.7
2011-04-01, 186.3
2011-05-01, 190.81
2011-06-01, 188.08
2011-07-01, 187.31
2011-08-01, 188.67
2011-09-01, 190.09
2011-10-01, 196.31
2011-11-01, 199.7
2011-12-01, 200.85
2012-01-01, 201.98
2012-02-01, 203.12
2012-03-01, 203.96
2012-04-01, 207.05
2012-05-01, 206.61
2012-06-01, 204.76
2012-07-01, 204.29
2012-08-01, 205.43
2012-09-01, 207.55
2012-10-01, 211.62
2012-11-01, 212.42
2012-12-01, 213.23
2013-01-01, 216.74
2013-02-01, 217.39
2013-03-01, 218.83
2013-04-01, 219.75
2013-05-01, 220.07
2013-06-01, 221.75
2013-07-01, 222.44
2013-08-01, 222.21
2013-09-01, 223.91
2013-10-01, 227.94
2013-11-01, 227.96
2013-12-01, 229.01
2014-01-01, 233.54
2014-02-01, 234.54
2014-03-01, 237.18
2014-04-01, 240.37
2014-05-01, 241.32
2014-06-01, 242.07
2014-07-01, 243.17
2014-08-01, 243.4
2014-09-01, 243.74
2014-10-01, 248.37
2014-11-01, 248.82
2014-12-01, 247.72
2015-01-01, 250.45
2015-02-01, 252.24
2015-03-01, 255.23
2015-04-01, 259.39
2015-05-01, 260.85
2015-06-01, 259.51
2015-07-01, 259.74
2015-08-01, 260.78
2015-09-01, 263.11
2015-10-01, 267.2
2015-11-01, 268.98
2015-12-01, 269.54
2016-01-01, 274.44
2016-02-01, 274.38
2016-03-01, 274.27
2016-04-01, 276.42
2016-05-01, 278.02
2016-06-01, 279.33
2016-07-01, 282.58
2016-08-01, 281.76
2016-09-01, 282.27
2016-10-01, 286.33
2016-11-01, 287.81
2016-12-01, 292.54
2017-01-01, 299.74
2017-02-01, 302.17
2017-03-01, 305.24
2017-04-01, 309.23
2017-05-01, 310.61
2017-06-01, 309.78
2017-07-01, 310.24
2017-08-01, 311.85
2017-09-01, 313.88
2017-10-01, 320.4
2017-11-01, 325.18
2017-12-01, 327.41
2018-01-01, 330.75
2018-02-01, 333.17
2018-03-01, 336.48
2018-04-01, 342.78
2018-05-01, 348.34
2018-06-01, 357.44
2018-07-01, 359.41
2018-08-01, 367.66
2018-09-01, 390.84
2018-10-01, 401.27
2018-11-01, 395.48
2018-12-01, 393.88
2019-01-01, 398.07
2019-02-01, 398.71
2019-03-01, 402.81
2019-04-01, 409.63
2019-05-01, 413.52
2019-06-01, 413.63
2019-07-01, 419.24
2019-08-01, 422.84
2019-09-01, 427.04
2019-10-01, 435.59
2019-11-01, 437.25
2019-12-01, 440.5
2020-01-01, 446.45
2020-02-01, 448.02
2020-03-01, 450.58
2020-04-01, 454.43
2020-05-01, 460.62
2020-06-01, 465.84
2020-07-01, 468.56
2020-08-01, 472.61
2020-09-01, 477.21
2020-10-01, 487.38
2020-11-01, 498.58
2020-12-01, 504.81
2021-01-01, 513.3
2021-02-01, 517.96
2021-03-01, 523.53
2021-04-01, 532.32
2021-05-01, 537.05
2021-06-01, 547.48
2021-07-01, 557.36
2021-08-01, 563.6
2021-09-01, 570.66
2021-10-01, 584.32
2021-11-01, 604.84
2021-12-01, 686.95
2022-01-01, 763.23
2022-02-01, 799.93
2022-03-01, 843.64
2022-04-01, 904.79
2022-05-01, 931.76
2022-06-01, 977.9
2022-07-01, 1001.03
2022-08-01, 1015.65
2022-09-01, 1046.89
2022-10-01, 1084
2022-11-01, 1115.26
2022-12-01, 1128.45
2023-01-01, 1203.48
2023-02-01, 1241.33
2023-03-01, 1269.75
2023-04-01, 1300.04
2023-05-01, 1300.6
2023-06-01, 1351.59
2023-07-01, 1479.84
2023-08-01, 1614.31
2023-09-01, 1691.04
2023-10-01, 1749.11
2023-11-01, 1806.5
2023-12-01, 1859.38
